client_id;client_nom;client_ville;etat_id;pays_id
2760008;Klaus-Dieter Richter;WOLTERSDORF ;;276
2760009;"Autohaus ""A 13"" GmbH";SCHWERIN ;;276
2760010;A 34 Bau GmbH;BERLIN ;;276
2760011;KARO 2403 Immobilienprojekt GmbH;BERLIN ;;276
2760012;Arge Ingenieurbau A 10 Ludwigsfelder Damm;BERLIN ;;276
2760013;A.11 GmbH & Co. Rentalmedia Germany KG;HANNOVER ;;276
2760014;Arge Westring A 10 Grosskreuz-Dreieck Werder;TREBBIN ;;276
2760015;Oevermann GmbH & Co.KG, Hoch- und Tiefbau und Dieckmann Baue;OSNABRUCK ;;276
2760016;Kombinat Lagerlogistik A 10 GmbH;BERLIN ;;276
2760017;Becker Bau GmbH & Co. KG und Max Bogl Bauunternehmung GmbH;BORNHOVED ;;276
2760018;EUROVIA TEERBAU GmbH u. Strabag AG;BOTTROP ;;276
2760019;ARGE BAB A 92, BW 46/1 Unterfuhrung Isar/Isarkanal;ROSENHEIM ;;276
2760020;ARGE ERDBAU BAB A 14 DAHLENWARSLEBEN;BARLEBEN ;;276
2760021;A + U GmbH Buro fur Abfall und Umwelt;BINGEN ;;276
2760022;Andrea Do;CHEMNITZ ;;276
2760023;Dresdener Sportgerate Dipl.-Chem. Stephan Weber GmbH;DRESDEN ;;276
2760024;A & TA Alarm- und Telefon-Anlagen Montage GmbH;BERLIN ;;276
2760025;A & U arbeits-& umweltschutztechnische Betreuung e. K.;PLAUEN ;;276
2760026;Arztliche Gemeinschaftspraxis;LEIBLFING ;;276
2760027;A-DES GmbH, Architektur -- Design;BERLIN ;;276
2760028;U & A Reilard GmbH;DORSTEN ;;276
2760029;A & U GmbH Buro fur Abfall und Umwelt Zweigniederlassung D;DUSSELDORF ;;276
2760030;Tischlerei Dunder GmbH;HAMBURG ;;276
2760031;Arge BEGE ALTABLAGERUNG A 533;BREMEN ;;276
2760032;Arge BAB A 241/Kirchner, Strabag/Teerbau;GODERN ;;276
2760033;ARGE BAB A100 DYWIDAG /HOLZMANN;BERLIN ;;276
2760034;Amand GmbH & Co. KG, STRABAG AG, F.C. Trapp Baugesellschaft;DUSSELDORF ;;276
2760035;Alfred Maier;GELNHAUSEN ;;276
2760036;Angela Rudolph;BAD SCHLEMA ;;276
2760037;Bistro-A-300 GmbH;BREMEN ;;276
2760038;Andreas Knackstedt u. Heike Lowis;AACHEN ;;276
3800001;OTTAIANO LUIGI;NAPOLI ;;380
3800002;EURO ITTICA CONGELATI SAS DI SARRA MASSIMO & C.;NAPOLI (MIANO ) ;;380
3800003;DE PIANO ANNA TERESA;SERINO ;;380
3800004;AGRILAND DI PERETTI PIERGIORGIO;SALUZZO ;;380
3800005;GAROFALO BARTOLOMEO;TORRE DEL GRECO ;;380
3800006;DE MARIA MARIA PIA;SAN GIORGIO A CREMANO ;;380
3800007;A.C.E.DA. DI TEDESCO GIUSEPPE & C. SAS;NAPOLI ;;380
3800008;VIGORITO CONCETTA;ERCOLANO ;;380
3800009;VAL.IMP.EX SRL;BIELLA ;;380
3800010;A. & A. S.R.L.;FLORIDIA ;;380
3800011;DEL VERME MANLIO;TORCHIARA (S.ANTUONO DI TORCHIARA ) ;;380
3800012;ALCAN HOLDING ITALIA SRL;MILANO ;;380
3800013;CARILLO GIOVANNA;CASALNUOVO DI NAPOLI ;;380
3800014;BELLORA GIOVANNI;COAZZOLO ;;380
3800015;OTTAIANO LUIGI;NAPOLI ;;380
3800016;EURO ITTICA CONGELATI SAS DI SARRA MASSIMO & C.;NAPOLI (MIANO ) ;;380
3800017;DE PIANO ANNA TERESA;SERINO ;;380
3800018;AGRILAND DI PERETTI PIERGIORGIO;SALUZZO ;;380
3800019;GAROFALO BARTOLOMEO;TORRE DEL GRECO ;;380
3800020;DE MARIA MARIA PIA;SAN GIORGIO A CREMANO ;;380
3800021;A & D SRL;LATINA ;;380
3800022;A & D SRL;ROMA ;;380
3800023;A E D - SRL;LOVERE ;;380
3800024;A. & D. S.R.L.;MILANO ;;380
3800025;A. & E. SRL;SASSARI ;;380
6200001;AUTO CLUBE MEDICO PORTUGUES;LISBOA (LISBOA ) ;;620
6200002;FERREIRA, FERNANDO AUGUSTO PEREIRA;VILA VERDE (VILA VERDE ) ;;620
6200003;SANTOS, ALANE ISIDRO MARUJO;NISA (NISA ) ;;620
6200004;MOURINHO & GODINHO - CAFE E ARTIGOS DE DESPORTO, LDA;TOLOSA (TOLOSA ) ;;620
6200005;NUNES, CARLOS ALBERTO SOARES;CAPARICA (CAPARICA ) ;;620
6200006;JESUS & NUNES, LDA;CHARNECA DA CAPARICA (CHARNECA DA CAPARICA ) ;;620
6200007;CASADINHO, FERNANDA CONCEICAO BONIFACIO RAPOSO SANTOS;SERPA (SERPA ) ;;620
6200008;SATUS - SOCIEDADE DE ACTIVIDADES TURISTICAS, LDA;SETUBAL (SETUBAL ) ;;620
6200009;FERNANDES, NUNO MIGUEL PARENTE;AGUALVA-CACEM (AGUALVA-CACEM ) ;;620
6200010;FAUSTINO, SILVERIO DE DEUS FERREIRA;COIMBRA (COIMBRA ) ;;620
7240001;AGUA Y ESTRUCTURAS SA;SEVILLA ;;724
7240002;INMOAVANCE S.L.;SEVILLA ;;724
7240003;INMOAVANCE S.L.;SEVILLA ;;724
7240004;JUNTA DE ANDALUCIA;SEVILLA ;;724
7240005;APLICA S.L.;SANT BOI DE LLOBREGAT ;;724
7240006;ANDREU BARBERA SL;PATERNA ;;724
7240007;AZULEV SA;ONDA ;;724
7240008;AUCTENTIA S.L.;MADRID ;;724
7240009;ABASTECIMIENTOS ENERGETICOS S.L.;MADRID ;;724
7240010;AJP INDUSTRIAL SA;L'HOSPITALET DE LLOBREGAT ;;724
7240011;ALCAIDESA HOLDING SA;LA LINEA DE LA CONCEPCION ;;724
7240012;ADVANCED RESEARCH S.L.;BARCELONA ;;724
7240013;ERCROS INDUSTRIAL SA;BARCELONA ;;724
7240014;CREACIONES DUCAL SL;ALZIRA ;;724
7240015;CAJA RURAL DE ALMENDRALEJO SDAD COOP DE CREDITO;ALMENDRALEJO ;;724
7240016;AYUNTAMIENTO DE ALICANTE;ALICANTE/ALACANT ;;724
7240017;AYUNTAMIENTO DE ALICANTE;ALICANTE/ALACANT ;;724
7240018;LA UNION ALCOYANA SA DE SEGUROS Y REASEGUROS;ALCOY/ALCOI ;;724
7240019;LA UNION ALCOYANA SA DE SEGUROS Y REASEGUROS;ALCOY/ALCOI ;;724
7240020;HOMARGRUP SA;SANTA SUSANNA ;;724
7240021;ATLANTIS INFORMATICA SOCIEDAD LIMITADA.;LAS PALMAS DE GRAN CANARIA ;;724
7240022;AREAS INGENIERIA Y ARQUITECTURA S.L.;VALENCIA ;;724
7240023;EL CASERON DE ARACELI S.L.;SAN AGUSTIN DEL GUADALIX ;;724
7240024;LEAMA SOCIEDAD LIMITADA.;DURANGO ;;724
7560001;Holder Drogerie AG;WINTERTHUR ;;756
7560002;FRAMEWORK Anita Kovar;TRIESEN ;;756
7560003;Adolf Sele, Adolf's Bike-Shop;TRIESENBERG ;;756
7560004;Servette Kebab, M. Acar;GENEVE ;;756
7560005;ATELIER D'ARCHITECTURE OLIVIER MORZIER;MEINIER ;;756
7560006;Adurion Kommanditgesellschaft;VADUZ ;;756
7560007;Kinderhort Al Ponte;EMMENBRUCKE ;;756
7560008;Arlecchino Luzern;LUZERN ;;756
7560009;Schweizerische Arbeitsgemeinschaft Gestaltendes Handwerk;LUZERN ;;756
7560010;Asociacion de padres de la guarderia infantil espanola de Lucerna;LUZERN ;;756
7560011;Perolini + Renz AG, Dipl. Bauingenieure ETH/SIA;WINTERTHUR ;;756
7560012;KMN Elektro-Ingenieurburo AG;WINTERTHUR ;;756
7560013;R & M AG;SCHAFFHAUSEN ;;756
7560014;Hans Homberger AG;WINTERTHUR ;;756
7560015;Holder Drogerie AG;WINTERTHUR ;;756
7560016;FRAMEWORK Anita Kovar;TRIESEN ;;756
7560017;Adolf Sele, Adolf's Bike-Shop;TRIESENBERG ;;756
7560018;Servette Kebab, M. Acar;GENEVE ;;756
7560019;ATELIER D'ARCHITECTURE OLIVIER MORZIER;MEINIER ;;756
7560020;Adurion Kommanditgesellschaft;VADUZ ;;756
7560021;Kamag Anstalt;VADUZ ;;756
7560022;Milim Holding Anstalt;VADUZ ;;756
7560023;Veritex Anstalt;VADUZ ;;756
7560024;PERSONUM Anstalt;ESCHEN ;;756
7560025;Vintec Anstalt;TRIESEN ;;756
7560026;Euro- Management and Trust Company Establishment/Europaische Verwaltungs- und Treuhandgesellschaft Anstalt;VADUZ ;;756
7560027;Promos Engineering Anstalt;VADUZ ;;756
7560028;Cafe Meier Anstalt;NENDELN ;;756
7560029;Tondino Anstalt;VADUZ ;;756
7560030;Textilwerk Balzers Anstalt;BALZERS ;;756
7560031;Associated World Athletics Establishment;VADUZ ;;756
7560032;Patra Anstalt;SCHAAN ;;756
7560033;Presseburo Vaduz Anstalt;VADUZ ;;756
7560034;Telazur Anstalt;VADUZ ;;756
7560035;IRCOR ANSTALT;RUGGELL ;;756
7560036;Anstalt fur innovative Produktentwicklung;SCHAAN ;;756
7560037;Kamag Anstalt;VADUZ ;;756
7560038;Milim Holding Anstalt;VADUZ ;;756
7560039;Veritex Anstalt;VADUZ ;;756
7560040;PERSONUM Anstalt;ESCHEN ;;756
7560041;Vintec Anstalt;TRIESEN ;;756
7560042;Euro- Management and Trust Company Establishment/Europaische Verwaltungs- und Treuhandgesellschaft Anstalt;VADUZ ;;756
7560043;Promos Engineering Anstalt;VADUZ ;;756
7560044;Cafe Meier Anstalt;NENDELN ;;756
7560045;Tondino Anstalt;VADUZ ;;756
7560046;Textilwerk Balzers Anstalt;BALZERS ;;756
7560047;Nadesa Anstalt;VADUZ ;;756
7560048;ccgrafik anstalt;MAUREN FL ;;756
7560049;IPC Intercontinental Power Company Anstalt;VADUZ ;;756
7560050;Quorum Anstalt;VADUZ ;;756
8400001;Green Tech;PRINCETON;NJ;840
8400002;Bill's Dive Shop;ALEXANDRIA;OH;840
8400003;Childress Child Day Care;MOODY;AL;840
8400004;Kermit the Pet Shop;THE LAKES;NV;840
8400005;Tub's Furniture Store;ACKWORTH;IA;840
8400006;Toggle & Myerson Ltd;ORANGE PARK;FL;840
8400007;Childress Child Day Care;POCATELLO;ID;840
8400008;Elle Hypnosis and Therapy Cent;MOODY;AL;840
8400009;Keyth Contracting and Repair;ALLENTON;MO;840
8400010;Park District Of America;DULLES;VA;840
8400011;Nirabi Auto Service;BEAR;DE;840
8400012;Darcy Frame and Matting Servic;AGAWAM;MA;840
8400013;Glenwood Credit Union;DULLES;VA;840
8400014;Gourmet the Frog;MOODY;AL;840
8400015;Acturial Enterprises Ltd.;ABERCROMBIE;ND;840
8400016;Salt & Pepper Catering Service;ALTAMONT;UT;840
8400017;Rythmics Ltd.;ALGONAC;MI;840
8400018;Parkway Auto Body;ABIE;NE;840
8400019;Futoons Cartoons Emporium;ABBEVILLE;MS;840
8400020;Glenn Oaks Office Supplies;AVONDALE ESTATES;GA;840
8400021;Garfield Appliance Service;ADVANCE;NC;840
8400022;New Dehli Auto Exchange;ADELL;WI;840
8400023;Kermit the Pet Shop;WHITE RIVER JUNCTION;VT;840
8400024;Hibbard Road Suppliers;THE LAKES;NV;840
8400025;Peterson Roberts Carpentry;POCATELLO;ID;840
8400026;Acme Chemical Supply;ARVADA;CO;840
8400027;Truck-X Muffler Repair;ALLENTON;MO;840
8400028;Arthur M. Feildberg Galleries;ANTELOPE;OR;840
8400029;Cotton Thumb Ltd.;ALDEN;IL;840
8400030;Childress Child Day Care;ALGONAC;MI;840
8400031;Foy Aviation;WALDORF;MD;840
8400032;Nyman Interior Design;AUBURN;WA;840
8400033;Got It All Electronics Supply;ALGONAC;MI;840
8400034;PGS Associates;ABSAROKEE;MT;840
8400035;Yale Remins Temp Agency;ADELL;WI;840
8400036;Mergenthaler Inc.;WHITE RIVER JUNCTION;VT;840
8400037;Elm Place Business Supplies;ATCHISON;KS;840
8400038;Parties Galore Golf Course;ABSAROKEE;MT;840
8400039;Glenn Oaks Office Supplies;ALIQUIPPA;PA;840
8400040;Metro Appliance Service;AVENEL;NJ;840
8400041;Parkway Auto Body;ALEXANDRIA;IN;840
8400042;Hi-Land Art & Frame;POCATELLO;ID;840
8400043;Brand Y Creative Services;ALEXANDRIA;OH;840
8400044;George Lee Antiques;DULLES;VA;840
8400045;Johnson, Erico & Co CPA's;BAGDAD;KY;840
8400046;Trapezoid Studios;ACKWORTH;IA;840
8400047;American Deli Workers Union;PINE BLUFF;AR;840
8400048;Schmidt Denists;AUBURN;WA;840
8400049;Crossroads Construction, Inc.;LOS ANGELES;CA;840
8400050;Highland Heights Gift Shop;THE LAKES;NV;840
8400051;Glenn Oaks Office Supplies;AVON;CT;840
8400052;Lee Stairworks and Carpentry,;ALCESTER;SD;840
8400053;Lambert & Locke Legal Services;WHITE RIVER JUNCTION;VT;840
8400054;Nitelites Party Rental;ANTELOPE;OR;840
8400055;Vanity Town;HOLTSVILLE;NY;840
8400056;DBN Bank;ALEXANDRIA;OH;840
8400057;BBQ Smith's Tex Mex;ORANGE PARK;FL;840
8400058;Pivot Point College;ORANGE PARK;FL;840
8400059;Highland Woods City Hall;ORANGE PARK;FL;840
8400060;Mail Boxes Et. Al.;AVENEL;NJ;840
8400061;Smith & Wesson Militia;ABIE;NE;840
8400062;Acturial Enterprises Ltd.;HOLTSVILLE;NY;840
8400063;Resnick DDS;ARVADA;CO;840
8400064;Air Mexico;ARVADA;CO;840
8400065;janice Mann Accounting Service;THE LAKES;NV;840
8400066;Pete's Auto Repair;HOLTSVILLE;NY;840
8400067;Michael Montgomery Hair Saloon;ORANGE PARK;FL;840
8400068;Gordon & Son Brockerage Ltd.;ADELL;WI;840
8400069;Bee Line Publishing;DULLES;VA;840
8400070;Green Bay Travel Services;THE LAKES;NV;840
8400071;Caranisco Homes;ADAMSVILLE;RI;840
8400072;Doll House Rock;ADELL;WI;840
8400073;Moveit Motercycle Service;ALDEN;IL;840
8400074;Funnyface Amusement Games;POCATELLO;ID;840
8400075;Glenwood Credit Union;AGAWAM;MA;840
8400076;Glassman & Stone;BERWICK;ME;840
8400077;Yale Remins Temp Agency;ABBEVILLE;MS;840
8400078;Dean Barnett Furniture Repair;METAIRIE;LA;840
8400079;Eva Galler Galleries Inc.;BEAR;DE;840
8400080;Shaggy's Grooming Services;ARVADA;CO;840
8400081;Bako Delicatessen;BERWICK;ME;840
8400082;Cradle the Call;THE LAKES;NV;840
8400083;Truck-X Muffler Repair;BERWICK;ME;840
8400084;Deer Lake Inn;ALGONAC;MI;840
8400085;Crosstracks Car Wash;ADVANCE;NC;840
8400086;Masterlands Cleaning;ABERCROMBIE;ND;840
8400087;Shaggy's Grooming Services;AVON;CT;840
8400088;North West Gas Co.;AVENEL;NJ;840
8400089;Car Suite Cleaners;ARVADA;CO;840
8400090;Cutter Lawn Mower Repair;ANCHORAGE;AK;840
8400091;Doerner's Awnings and Canopies;ABSAROKEE;MT;840
8400092;Yale Remins Temp Agency;BERWICK;ME;840
8400093;Nyman Interior Design;ADAMSVILLE;RI;840
8400094;Shaggy's Grooming Services;AMHERST;NH;840
8400095;Johnson, Erico & Co CPA's;ALTAMONT;UT;840
8400096;Bill's Dive Shop;AVON;CT;840
8400097;Bill's Dive Shop;ABERCROMBIE;ND;840
8400098;Air Mexico;ALGODONES;NM;840
8400099;Metro Appliance Service;ADAMSVILLE;RI;840
8400100;Caranisco Homes;ATCHISON;KS;840
8400101;Caranisco Homes;ALCOLU;SC;840
8400102;Camp Oconomowoc;ALLENTON;MO;840
8400103;Air India;ORANGE PARK;FL;840
8400104;Lickmen Restoration;AFTON;MN;840
8400105;K L Consulting;AUSTIN;TX;840
8400106;DBN Bank;WALDORF;MD;840
8400107;Hart Corporation;ALCESTER;SD;840
8400108;Hoffman Printing Center;ALTAMONT;UT;840
8400109;Pasifico Inc.;WHITE RIVER JUNCTION;VT;840
8400110;Trapezoid Studios;ARVADA;CO;840
8400111;Pac Builders;AIEA;HI;840
8400112;Dapper's Antiques;BERWICK;ME;840
8400113;Tub's Furniture Store;ALGODONES;NM;840
8400114;Kermit the Pet Shop;PHOENIX;AZ;840
8400115;First National Bank of Ottowa;LOS ANGELES;CA;840
8400116;Terrinni & Son Auto and Truck;POCATELLO;ID;840
8400117;Esmarda Chemical Manufacturers;PINE BLUFF;AR;840
8400118;First National Bank of Ottowa;ALTAMONT;UT;840
8400119;Facelift Kitchen and Bath;AUBURN;WA;840
8400120;Nina's Snow Plowing;ALEXANDRIA;OH;840
8400121;Flinn Mosquito and Pest Contro;AUSTIN;TX;840
8400122;Resnick DDS;ALLENTON;MO;840
8400123;Air Mexico;ALEXANDRIA;IN;840
8400124;Gordon & Son Brockerage Ltd.;ALGODONES;NM;840
8400125;Griffith Paving and Sealcoatin;ALGONAC;MI;840
8400126;AAA Daniels Antiques;ACKWORTH;IA;840
8400127;Smith Communications Inc.;ALGODONES;NM;840
8400128;Myers Chocolates and Confectio;AGAWAM;MA;840
8400129;Masterlands Cleaning;ABSAROKEE;MT;840
8400130;Futoons Cartoons Emporium;ALLENTON;MO;840
8400131;Block Boats and Lures;AUBURN;WA;840
8400132;Vanity Town;AVON;CT;840
8400133;Morton Roofing and Siding;ADVANCE;NC;840
8400134;Caranisco Homes;ACKWORTH;IA;840
8400135;DBN Bank;WALDORF;MD;840
8400136;Hart Corporation;AVONDALE ESTATES;GA;840
8400137;Nel Video Productions;WALDORF;MD;840
8400138;Maintence Services of Maine;ALEXANDRIA;OH;840
8400139;Woodworks Co.;AIEA;HI;840
8400140;Glenn Oaks Office Supplies;ARVADA;CO;840
8400141;Funnyface Amusement Games;AVON;CT;840
8400142;Highland Lanes;ALEXANDRIA;OH;840
8400143;Marcy Elaine Bakery;WHITE RIVER JUNCTION;VT;840
8400144;janice Mann Accounting Service;AIEA;HI;840
8400145;Lickmen Restoration;ORANGE PARK;FL;840
8400146;Moveit Motercycle Service;ALCESTER;SD;840
8400147;Cradle the Call;MOODY;AL;840
8400148;Kapp Camera and Video;ANTELOPE;OR;840
8400149;Marcy Elaine Bakery;ABSAROKEE;MT;840
8400150;Ernie's Foriegn Car Service;DULLES;VA;840
8400151;Myles Building Consultants;ALCESTER;SD;840
8400152;Cotton Thumb Ltd.;METAIRIE;LA;840
8400153;Lickmen Restoration;ALTAMONT;UT;840
8400154;Marks, Marks, and Kaplan Ltd.;THE LAKES;NV;840
8400155;Morton Roofing and Siding;ABSAROKEE;MT;840
8400156;P K M Packaging Supply;POCATELLO;ID;840
8400157;Trapezoid Studios;ALEXANDRIA;OH;840
8400158;Salt & Pepper Catering Service;PHOENIX;AZ;840
8400159;Darcy Frame and Matting Servic;ANTELOPE;OR;840
8400160;Jay's Cabinet Company;ADELL;WI;840
8400161;Marks, Marks, and Kaplan Ltd.;ALGODONES;NM;840
8400162;Camp Oconomowoc;ORANGE PARK;FL;840
8400163;Innman Paint and Glass;LOS ANGELES;CA;840
8400164;Kermit the Pet Shop;ATCHISON;KS;840
8400165;Pasifico Inc.;AVON;CT;840
8400166;Block Boats and Lures;MOODY;AL;840
8400167;Myles Building Consultants;AIEA;HI;840
8400168;Childress Child Day Care;MOODY;AL;840
8400169;Parties Galore Golf Course;ADVANCE;NC;840
8400170;Facelift Kitchen and Bath;AVON;CT;840
8400171;Esmarda Chemical Manufacturers;ABIE;NE;840
8400172;Pivot Point College;ALGODONES;NM;840
8400173;Smith & Wesson Militia;ALGODONES;NM;840
8400174;Kapp Camera and Video;ACKWORTH;IA;840
8400175;Ampro Office Team Ltd.;AMHERST;NH;840
8400176;Hart Corporation;ARVADA;CO;840
8400177;AAA Daniels Antiques;ALDEN;IL;840
8400178;Palmer Golf Supplies;HOLTSVILLE;NY;840
8400179;Highland Woods City Hall;AMHERST;NH;840
8400180;Meonits & Mogogni Inc.;CHEYENNE;WY;840
8400181;Doerner's Awnings and Canopies;ATCHISON;KS;840
8400182;Keyth Contracting and Repair;POCATELLO;ID;840
8400183;Highland Heights Gift Shop;ADAMS;TN;840
8400184;Auto Interior Carpeting Compan;ACKWORTH;IA;840
8400185;Portugal, Liddy, & Son Ltd.;POCATELLO;ID;840
8400186;Hilco Auto Body;ACKWORTH;IA;840
8400187;Morton Roofing and Siding;AVON;CT;840
8400188;Schnitzer Denist College;AVENEL;NJ;840
8400189;Morgan Construction Co;AFTON;MN;840
8400190;Air Barbados;ANTELOPE;OR;840
8400191;Bee Line Publishing;AVON;CT;840
8400192;Transformation Enterprises;BEAR;DE;840
8400193;Cradle the Call;AVENEL;NJ;840
8400194;Nel Video Productions;AVON;CT;840
8400195;Darcy Frame and Matting Servic;LOS ANGELES;CA;840
8400196;Green Bay Travel Services;ALIQUIPPA;PA;840
8400197;Air France;ORANGE PARK;FL;840
8400198;Dependable Plumbing and Sewer;ABBEVILLE;MS;840
8400199;Green Shoes Corp.;ALBERT;OK;840
8400200;janice Mann Accounting Service;ALIQUIPPA;PA;840
8400201;Mac Computer Warehouse;POCATELLO;ID;840
8400202;Marks, Marks, and Kaplan Ltd.;AUSTIN;TX;840
8400203;Portugal, Liddy, & Son Ltd.;ABERCROMBIE;ND;840
8400204;Gourmet the Frog;AMHERST;NH;840
8400205;Green Shoes Corp.;BERWICK;ME;840
8400206;Glenwood Credit Union;DULLES;VA;840
8400207;Schnitzer Denist College;AVENEL;NJ;840
8400208;Green Shoes Corp.;ALDEN;IL;840
8400209;Moveit Motercycle Service;BAGDAD;KY;840
8400210;Eva Galler Galleries Inc.;ALIQUIPPA;PA;840
8400211;Highland Heights Gift Shop;ADELL;WI;840
8400212;George Lee Antiques;ALGONAC;MI;840
8400213;Smith Communications Inc.;ALCESTER;SD;840
8400214;Eva Galler Galleries Inc.;PHOENIX;AZ;840
8400215;AA Advertising;ALDEN;IL;840
8400216;Dependable Plumbing and Sewer;ALEXANDRIA;OH;840
8400217;Mail Boxes Et. Al.;ADVANCE;NC;840
8400218;Mergenthaler Inc.;AMHERST;NH;840
8400219;Park District Of America;BEAR;DE;840
8400220;New Dehli Auto Exchange;ARVADA;CO;840
8400221;Masterlands Cleaning;ADAMS;TN;840
8400222;Woodworks Co.;ACKWORTH;IA;840
8400223;Palmer Golf Supplies;ANTELOPE;OR;840
8400224;Lickmen Restoration;POCATELLO;ID;840
8400225;Deer Lake Inn;ALCOLU;SC;840
8400226;Smith Communications Inc.;ARVADA;CO;840
8400227;Park District Of America;ALBERT;OK;840
8400228;New Dehli Auto Exchange;METAIRIE;LA;840
8400229;Innman Paint and Glass;ALGONAC;MI;840
8400230;John G. Hartling Ltd.;ACKWORTH;IA;840
8400231;Dean Grant Buick and Crysler;ALTAMONT;UT;840
8400232;American Deli Workers Union;METAIRIE;LA;840
8400233;Loyal Order of Buffalo;AMHERST;NH;840
8400234;Foy Aviation;ABBEVILLE;MS;840
8400235;Kapp Camera and Video;ATCHISON;KS;840
8400236;Lee Stairworks and Carpentry,;ACKWORTH;IA;840
8400237;Lake Shore Publishing;ADAMSVILLE;RI;840
8400238;Marcy Elaine Bakery;WHITE RIVER JUNCTION;VT;840
8400239;Hart Corporation;ALEXANDRIA;OH;840
8400240;North West Gas Co.;ALIQUIPPA;PA;840
8400241;DBN Bank;ALGONAC;MI;840
8400242;Arthur M. Feildberg Galleries;METAIRIE;LA;840
8400243;Block Boats and Lures;AVON;CT;840
8400244;Smith Communications Inc.;BAGDAD;KY;840
8400245;Acturial Enterprises Ltd.;METAIRIE;LA;840
8400246;Mac Computer Warehouse;AVON;CT;840
8400247;Futoons Cartoons Emporium;WHITE RIVER JUNCTION;VT;840
8400248;Acme Chemical Supply;BERWICK;ME;840
8400249;Cosmo Skin Care Center;ADELL;WI;840
8400250;Woodworks Co.;DULLES;VA;840
8400251;Block Boats and Lures;PHOENIX;AZ;840
8400252;Funnyface Amusement Games;BERWICK;ME;840
8400253;Kapp Camera and Video;BERWICK;ME;840
8400254;Trapezoid Studios;ALGONAC;MI;840
8400255;Portugal, Liddy, & Son Ltd.;BERWICK;ME;840
8400256;Air Guatamala;ALGONAC;MI;840
8400257;Acme Chemical Supply;MOODY;AL;840
8400258;Lutz Soft Cloth Car Wash;AGAWAM;MA;840
8400259;Parties Galore Golf Course;DULLES;VA;840
8400260;Hilco Auto Body;ALGONAC;MI;840
8400261;Esmarda Chemical Manufacturers;ALCOLU;SC;840
8400262;BBQ Smith's Tex Mex;ATCHISON;KS;840
